Income,DebtToIncome,CreditHistory,LatePayments,Employment,CreditLines,LoanAmount,HomeOwnership,Age,Savings,Education,ReliabilityScore,Risk_Label
101.69230392406499,6.046014158758217,12.538993363470045,2,3.3713971670179257,2,223.749888390225,0,29.65423461756674,63.63257323991724,3,4.387126019354294,Average
65.26311536609761,20.920107577532956,16.524981166424574,2,2.55899354786139,4,39.948799433831056,1,42.49307121787655,61.09848283742737,2,5.378843227983315,Average
83.76068504727697,20.932257418049602,6.834911062338989,0,5.294267226054385,2,206.6948984769013,1,41.37937441831434,82.46197152034989,4,7.623961965466169,Average
73.29318789758919,16.535676060664684,12.673553254989077,0,1.0438146979939433,4,120.73470981238513,1,50.546431745545796,80.63040812791687,2,12.795080217374506,Good
76.85707160994009,19.444920745651164,10.359300549680157,2,0.0,7,97.53269554720188,0,29.3660662812483,39.00148477619831,3,3.478816950565688,Average
107.3787994695171,22.889463762352737,11.95055934135416,2,3.9328762462370337,6,94.11571752718325,1,49.20220827089354,61.91144826460857,2,4.371598360374108,Average
47.39125052425604,13.422323395013743,12.423284041210156,0,6.082019454743625,5,152.68041836609316,1,45.69080113779851,33.26057280792713,1,12.407742983823162,Average
81.98705334308379,17.57057739769412,10.571720873427395,1,2.5427166235924714,4,111.49178352370687,1,30.887613922406903,21.066592536403764,1,5.744470199689095,Average
77.85918448894394,21.006628037112566,12.964906933262156,1,2.9807191068102985,4,171.70686204965767,1,39.455061881835725,33.37157037000036,1,7.411082395227812,Average
77.71488789613626,27.063584880576915,5.656796998583043,0,0.44799768562008424,5,178.2155766355687,1,65.33653477331326,37.056290423806054,1,5.129106097083125,Poor
70.89735409732468,14.846321734533166,18.073048795874723,1,2.620341070430991,2,160.89306342964176,1,46.19445841351093,56.325373001459184,2,8.96725453021136,Average
44.97574569074182,21.277043838048165,9.925522533114831,0,6.1744683697035825,4,87.21252095154013,1,32.48173135953948,59.300835939647875,5,10.266618601498985,Average
98.1864010119308,14.447989532714072,13.721112437599729,1,6.164226431162847,2,114.17196192533186,0,34.530275148689945,32.08275217676625,5,7.028233023643814,Average
53.23783362225516,18.169465847434473,14.995254842417296,1,4.326935102476421,4,129.37985941330263,0,40.906617222662355,36.928299804490834,1,8.202618998662713,Average
62.70280221337961,16.973917121231814,9.299846655179572,1,5.83241831316268,4,181.23985180056997,0,37.187784000065555,64.27149449367647,5,4.515215369818651,Average
76.46381795204465,17.343206798637308,1.193941037251406,0,6.956524894941358,4,155.9110754001248,1,40.017966055276396,5.766234625825653,2,1.8341141383667123,Average
